id;name;important_to
1;Aktywność obywatelska;2017-12-31
2;Architektura i urbanistyka;2017-12-31
3;Bezpieczeństwo i porządek publiczny;2017-12-31
4;Edukacja;2017-12-31
5;Funkcjonowanie jednostki komunalnej;2017-12-31
6;Funkcjonowanie organów władzy;2017-12-31
7;Finanse publiczne;2017-12-31
8;Geodezja, kartografia i kataster;2017-12-31
9;Gospodarowanie środowiskiem;2017-12-31
10;Gospodarowanie nieruchomościami Miasta;2017-12-31
11;Kultura;2017-12-31
12;Ochrona zdrowia;2017-12-31
13;Pomoc społeczna;2017-12-31
14;Sport i rekreacja;2017-12-31
15;Transport, komunikacja i drogownictwo;2017-12-31
16;Usługi komunalne;2017-12-31
